"FullName","LineCount"
"G:\lagoaformosanomomento\src\components\blocks\engagement\AccordionWidget.tsx","38"
"G:\lagoaformosanomomento\src\components\common\Logo.tsx","38"
"G:\lagoaformosanomomento\src\components\admin\advertisers\editor\sections\showcase\VideoUploaderWrapper.tsx","37"
"G:\lagoaformosanomomento\src\components\role-wizard\layout\WizardMobileHeader.tsx","37"
"G:\lagoaformosanomomento\src\components\role-wizard\StepRole.tsx","36"
"G:\lagoaformosanomomento\src\components\admin\inspector\InspectorHeader.tsx","36"
"G:\lagoaformosanomomento\src\components\admin\editor\blocks\textblock\render\renderers\visualDivider.tsx","35"
"G:\lagoaformosanomomento\src\components\admin\editor\banner\banner-components\YouTubeUploadStatus.tsx","35"
"G:\lagoaformosanomomento\src\components\admin\editor\blocks\CTABlock.tsx","34"
"G:\lagoaformosanomomento\src\components\common\TurnstileWidget.tsx","34"
"G:\lagoaformosanomomento\src\components\common\ErrorModal.tsx","34"
"G:\lagoaformosanomomento\src\components\admin\editor\engagement\ReactionEditor.tsx","33"
"G:\lagoaformosanomomento\src\components\common\WelcomeToast.tsx","33"
"G:\lagoaformosanomomento\src\components\common\my-account\SecurityTab.tsx","32"
"G:\lagoaformosanomomento\src\components\common\ErrorBoundary.tsx","31"
"G:\lagoaformosanomomento\src\components\admin\editor\blocks\RelatedBlock.tsx","30"
"G:\lagoaformosanomomento\src\components\blocks\engagement\TestimonialWidget.tsx","30"
"G:\lagoaformosanomomento\src\components\common\my-account\billing\WalletCard.tsx","30"
"G:\lagoaformosanomomento\src\components\blocks\engagement\CTAWidget.tsx","29"
"G:\lagoaformosanomomento\src\components\blocks\engagement\TimelineWidget.tsx","28"
"G:\lagoaformosanomomento\src\components\blocks\engagement\SliderWidget.tsx","27"
"G:\lagoaformosanomomento\src\components\admin\editor\blocks\media\EffectControl.tsx","27"
"G:\lagoaformosanomomento\src\components\blocks\engagement\ReactionWidget.tsx","25"
